program_code,program_name,year_level,semester,status,source_hint,action_hint
"ABCOMM","Bachelor of Arts in Communication","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"ABCOMM","Bachelor of Arts in Communication","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"ABCOMM","Bachelor of Arts in Communication","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"ABCOMM","Bachelor of Arts in Communication","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"ABCOMM","Bachelor of Arts in Communication","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"ABCOMM","Bachelor of Arts in Communication","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"ABCOMM","Bachelor of Arts in Communication","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"ABCOMM","Bachelor of Arts in Communication","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BAMIFM","Business Ad Major in Financial Management","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BAMIFM","Business Ad Major in Financial Management","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BAMIFM","Business Ad Major in Financial Management","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BAMIFM","Business Ad Major in Financial Management","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BAMIFM","Business Ad Major in Financial Management","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BAMIFM","Business Ad Major in Financial Management","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BAMIFM","Business Ad Major in Financial Management","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BAMIFM","Business Ad Major in Financial Management","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BBAMIMM","BS Business Ad Major in Marketing Management","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BBAMIMM","BS Business Ad Major in Marketing Management","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BBAMIMM","BS Business Ad Major in Marketing Management","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BBAMIMM","BS Business Ad Major in Marketing Management","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BBAMIMM","BS Business Ad Major in Marketing Management","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BBAMIMM","BS Business Ad Major in Marketing Management","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BBAMIMM","BS Business Ad Major in Marketing Management","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BBAMIMM","BS Business Ad Major in Marketing Management","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BCA","BS Custom Ad","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BCA","BS Custom Ad","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BCA","BS Custom Ad","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BCA","BS Custom Ad","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BCA","BS Custom Ad","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BCA","BS Custom Ad","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BCA","BS Custom Ad","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BCA","BS Custom Ad","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEE","BS Elem Education","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEE","BS Elem Education","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEE","BS Elem Education","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEE","BS Elem Education","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEE","BS Elem Education","3","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEE","BS Elem Education","3","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEE","BS Elem Education","4","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEE","BS Elem Education","4","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEED","Bachelor of Elementary Education","1","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEED","Bachelor of Elementary Education","1","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEED","Bachelor of Elementary Education","2","1","MISSING","No usable source row found.","Manual official fee entry/import is required."
"BEED","Bachelor of Elementary Education","2","2","MISSING","No usable source row found.","Manual official fee entry/import is required."
